[id][cost,state,father_id,action,depth,h,value]
[21387][0,(0, 0),None,None,0,28, 28]
[21389][2,(1, 0),21387,S,1,27,29]
[21392][5,(1, 1),21389,E,2,26,31]
[21393][8,(1, 2),21392,E,3,25,33]
[21396][9,(1, 3),21393,E,4,24,33]
[21398][10,(0, 3),21396,N,5,25,35]
[21401][12,(0, 4),21398,E,6,24,36]
[21404][15,(1, 4),21401,S,7,23,38]
[21410][18,(1, 5),21404,E,8,22,40]
[21411][22,(0, 5),21410,N,9,23,45]
[21430][25,(0, 6),21411,E,10,22,47]
[21440][27,(1, 6),21430,S,11,21,48]
[21447][29,(2, 6),21440,S,12,20,49]
[21459][33,(2, 7),21447,E,13,19,52]
[21475][34,(3, 7),21459,S,14,18,52]
[21478][37,(3, 6),21475,O,15,19,56]
[21500][40,(3, 5),21478,O,16,20,60]
[21512][43,(4, 5),21500,S,17,19,62]
[21516][45,(4, 6),21512,E,18,18,63]
[21517][48,(4, 7),21516,E,19,17,65]
[21521][50,(5, 7),21517,S,20,16,66]
[21525][53,(5, 8),21521,E,21,15,68]
[21526][54,(5, 9),21525,E,22,14,68]
[21528][55,(5, 10),21526,E,23,13,68]
[21531][56,(6, 10),21528,S,24,12,68]
[21534][57,(7, 10),21531,S,25,11,68]
[21538][58,(7, 9),21534,O,26,12,70]
[21540][59,(8, 9),21538,S,27,11,70]
[21545][60,(9, 9),21540,S,28,10,70]
[21548][63,(10, 9),21545,S,29,9,72]
[21554][66,(10, 10),21548,E,30,8,74]
[21561][70,(9, 10),21554,N,31,9,79]
[21597][73,(9, 11),21561,E,32,8,81]
[21610][76,(10, 11),21597,S,33,7,83]
[21622][77,(11, 11),21610,S,34,6,83]
[21625][80,(12, 11),21622,S,35,5,85]
[21633][83,(12, 12),21625,E,36,4,87]
[21649][86,(13, 12),21633,S,37,3,89]
[21658][90,(13, 13),21649,E,38,2,92]
[21676][93,(13, 14),21658,E,39,1,94]
[21686][97,(14, 14),21676,S,40,0,97]
