[id][cost,state,father_id,action,depth,h,value]
[21001][0,(0, 0),None,None,0,28, 0]
[21003][2,(1, 0),21001,S,1,27,0]
[21006][5,(1, 1),21003,E,2,26,2]
[21007][8,(1, 2),21006,E,3,25,5]
[21010][9,(1, 3),21007,E,4,24,8]
[21013][10,(0, 3),21010,N,5,25,9]
[21016][12,(0, 4),21013,E,6,24,10]
[21021][15,(1, 4),21016,S,7,23,12]
[21024][18,(1, 5),21021,E,8,22,15]
[21029][22,(0, 5),21024,N,9,23,18]
[21038][25,(0, 6),21029,E,10,22,22]
[21049][27,(1, 6),21038,S,11,21,25]
[21066][29,(2, 6),21049,S,12,20,27]
[21074][33,(2, 7),21066,E,13,19,29]
[21085][34,(3, 7),21074,S,14,18,33]
[21112][37,(3, 6),21085,O,15,19,34]
[21116][40,(3, 5),21112,O,16,20,37]
[21128][43,(4, 5),21116,S,17,19,40]
[21131][45,(4, 6),21128,E,18,18,43]
[21132][48,(4, 7),21131,E,19,17,45]
[21135][50,(5, 7),21132,S,20,16,48]
[21139][53,(5, 8),21135,E,21,15,50]
[21140][54,(5, 9),21139,E,22,14,53]
[21142][55,(5, 10),21140,E,23,13,54]
[21145][56,(6, 10),21142,S,24,12,55]
[21150][57,(7, 10),21145,S,25,11,56]
[21155][58,(7, 9),21150,O,26,12,57]
[21159][59,(8, 9),21155,S,27,11,58]
[21167][60,(9, 9),21159,S,28,10,59]
[21173][63,(10, 9),21167,S,29,9,60]
[21182][66,(10, 10),21173,E,30,8,63]
[21193][70,(9, 10),21182,N,31,9,66]
[21204][73,(9, 11),21193,E,32,8,70]
[21228][76,(10, 11),21204,S,33,7,73]
[21243][77,(11, 11),21228,S,34,6,76]
[21258][80,(12, 11),21243,S,35,5,77]
[21272][83,(12, 12),21258,E,36,4,80]
[21290][86,(13, 12),21272,S,37,3,83]
[21301][90,(13, 13),21290,E,38,2,86]
[21326][93,(13, 14),21301,E,39,1,90]
[21355][97,(14, 14),21326,S,40,0,93]
