[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,97, 0]
[2][2,(1, 0),0,S,1,96,1]
[8][5,(2, 0),2,S,2,95,3]
[10][11,(2, 1),8,E,3,94,8]
[19][16,(2, 2),10,E,4,93,12]
[28][22,(2, 3),19,E,5,92,17]
[37][29,(3, 3),28,S,6,91,23]
[50][37,(4, 3),37,S,7,90,30]
[63][48,(4, 4),50,E,8,89,40]
[90][58,(4, 5),63,E,9,88,49]
[111][69,(5, 5),90,S,10,87,59]
[136][82,(5, 6),111,E,11,86,71]
[174][95,(5, 7),136,E,12,85,83]
[206][111,(5, 8),174,E,13,84,98]
[250][126,(5, 9),206,E,14,83,112]
[280][142,(5, 10),250,E,15,82,127]
[310][159,(5, 11),280,E,16,81,143]
[354][177,(6, 11),310,S,17,80,160]
[404][196,(7, 11),354,S,18,79,178]
[459][217,(8, 11),404,S,19,78,198]
[514][238,(8, 12),459,E,20,77,218]
[575][260,(9, 12),514,S,21,76,239]
[640][283,(9, 13),575,E,22,75,261]
[715][307,(10, 13),640,S,23,74,284]
[787][332,(11, 13),715,S,24,73,308]
[843][358,(11, 14),787,E,25,72,333]
[918][386,(12, 14),843,S,26,71,360]
[1008][414,(12, 15),918,E,27,70,387]
[1090][443,(13, 15),1008,S,28,69,415]
[1169][474,(13, 16),1090,E,29,68,445]
[1263][505,(13, 17),1169,E,30,67,475]
[1348][538,(13, 18),1263,E,31,66,507]
[1422][571,(14, 18),1348,S,32,65,539]
[1506][605,(15, 18),1422,S,33,64,572]
[1613][641,(15, 19),1506,E,34,63,607]
[1730][677,(15, 20),1613,E,35,62,642]
[1835][714,(16, 20),1730,S,36,61,678]
[1945][753,(17, 20),1835,S,37,60,716]
[2056][792,(18, 20),1945,S,38,59,754]
[2169][832,(18, 21),2056,E,39,58,793]
[2285][873,(19, 21),2169,S,40,57,833]
[2409][915,(20, 21),2285,S,41,56,874]
[2538][958,(21, 21),2409,S,42,55,916]
[2679][1002,(22, 21),2538,S,43,54,959]
[2817][1047,(22, 22),2679,E,44,53,1003]
[2943][1093,(23, 22),2817,S,45,52,1048]
[3078][1140,(24, 22),2943,S,46,51,1094]
[3220][1189,(24, 23),3078,E,47,50,1142]
[3382][1238,(25, 23),3220,S,48,49,1190]
[3549][1288,(25, 24),3382,E,49,48,1239]
[3706][1340,(25, 25),3549,E,50,47,1290]
[3860][1393,(25, 26),3706,E,51,46,1342]
[4008][1446,(25, 27),3860,E,52,45,1394]
[4148][1500,(26, 27),4008,S,53,44,1447]
[4291][1555,(27, 27),4148,S,54,43,1501]
[4427][1611,(28, 27),4291,S,55,42,1556]
[4561][1668,(28, 28),4427,E,56,41,1612]
[4695][1726,(29, 28),4561,S,57,40,1669]
[4836][1785,(30, 28),4695,S,58,39,1727]
[4975][1845,(31, 28),4836,S,59,38,1786]
[5094][1908,(31, 29),4975,E,60,37,1848]
[5233][1971,(32, 29),5094,S,61,36,1910]
[5388][2034,(32, 30),5233,E,62,35,1972]
[5518][2098,(32, 31),5388,E,63,34,2035]
[5648][2163,(33, 31),5518,S,64,33,2099]
[5780][2229,(34, 31),5648,S,65,32,2164]
[5901][2296,(34, 32),5780,E,66,31,2230]
[6018][2366,(34, 33),5901,E,67,30,2299]
[6125][2435,(34, 34),6018,E,68,29,2367]
[6217][2505,(35, 34),6125,S,69,28,2436]
[6313][2577,(36, 34),6217,S,70,27,2507]
[6405][2649,(36, 35),6313,E,71,26,2578]
[6490][2722,(37, 35),6405,S,72,25,2650]
[6586][2796,(37, 36),6490,E,73,24,2723]
[6672][2871,(37, 37),6586,E,74,23,2797]
[6757][2947,(37, 38),6672,E,75,22,2872]
[6837][3024,(37, 39),6757,E,76,21,2948]
[6902][3103,(37, 40),6837,E,77,20,3026]
[6972][3182,(38, 40),6902,S,78,19,3104]
[7045][3262,(38, 41),6972,E,79,18,3183]
[7115][3343,(39, 41),7045,S,80,17,3263]
[7180][3425,(39, 42),7115,E,81,16,3344]
[7241][3508,(39, 43),7180,E,82,15,3426]
[7294][3593,(39, 44),7241,E,83,14,3510]
[7348][3678,(40, 44),7294,S,84,13,3594]
[7393][3764,(40, 45),7348,E,85,12,3679]
[7433][3853,(40, 46),7393,E,86,11,3767]
[7480][3943,(41, 46),7433,S,87,10,3856]
[7513][4032,(41, 47),7480,E,88,9,3944]
[7539][4122,(41, 48),7513,E,89,8,4033]
[7567][4215,(42, 48),7539,S,90,7,4125]
[7596][4307,(42, 49),7567,E,91,6,4216]
[7624][4400,(42, 50),7596,E,92,5,4308]
[7650][4494,(42, 51),7624,E,93,4,4401]
[7664][4589,(42, 52),7650,E,94,3,4495]
[7674][4685,(42, 53),7664,E,95,2,4590]
[7682][4782,(42, 54),7674,E,96,1,4686]
[7690][4880,(42, 55),7682,E,97,0,4783]
