[id][cost,state,father_id,action,depth,h,value]
[2622][0,(0, 0),None,None,0,198, 198]
[2623][4,(1, 0),2622,S,1,197,201]
[2625][8,(1, 1),2623,E,2,196,204]
[2631][12,(0, 1),2625,N,3,197,209]
[2638][13,(0, 2),2631,E,4,196,209]
[2640][17,(0, 3),2638,E,5,195,212]
[2643][20,(1, 3),2640,S,6,194,214]
[2646][22,(1, 4),2643,E,7,193,215]
[2648][26,(2, 4),2646,S,8,192,218]
[2651][28,(3, 4),2648,S,9,191,219]
[2653][30,(3, 5),2651,E,10,190,220]
[2660][32,(2, 5),2653,N,11,191,223]
[2673][33,(2, 6),2660,E,12,190,223]
[2675][37,(1, 6),2673,N,13,191,228]
[2682][38,(1, 7),2675,E,14,190,228]
[2684][39,(0, 7),2682,N,15,191,230]
[2689][41,(0, 8),2684,E,16,190,231]
[2691][44,(0, 9),2689,E,17,189,233]
[2711][45,(1, 9),2691,S,18,188,233]
[2714][47,(1, 10),2711,E,19,187,234]
[2716][51,(0, 10),2714,N,20,188,239]
[2739][53,(0, 11),2716,E,21,187,240]
[2746][56,(1, 11),2739,S,22,186,242]
[2755][60,(1, 12),2746,E,23,185,245]
[2766][61,(1, 13),2755,E,24,184,245]
[2768][65,(0, 13),2766,N,25,185,250]
[2781][67,(0, 14),2768,E,26,184,251]
[2785][69,(0, 15),2781,E,27,183,252]
[2795][72,(0, 16),2785,E,28,182,254]
[2799][75,(0, 17),2795,E,29,181,256]
[2809][78,(0, 18),2799,E,30,180,258]
[2818][82,(1, 18),2809,S,31,179,261]
[2839][86,(1, 17),2818,O,32,180,266]
[2883][90,(2, 17),2839,S,33,179,269]
[2904][93,(2, 18),2883,E,34,178,271]
[2918][94,(3, 18),2904,S,35,177,271]
[2922][95,(4, 18),2918,S,36,176,271]
[2925][98,(4, 17),2922,O,37,177,275]
[2951][100,(5, 17),2925,S,38,176,276]
[2957][102,(5, 18),2951,E,39,175,277]
[2962][106,(5, 19),2957,E,40,174,280]
[2980][107,(5, 20),2962,E,41,173,280]
[2982][111,(6, 20),2980,S,42,172,283]
[3002][113,(7, 20),2982,S,43,171,284]
[3012][115,(7, 21),3002,E,44,170,285]
[3015][119,(8, 21),3012,S,45,169,288]
[3043][121,(9, 21),3015,S,46,168,289]
[3054][125,(9, 22),3043,E,47,167,292]
[3066][127,(9, 23),3054,E,48,166,293]
[3074][130,(9, 24),3066,E,49,165,295]
[3081][131,(10, 24),3074,S,50,164,295]
[3084][132,(11, 24),3081,S,51,163,295]
[3089][133,(11, 25),3084,E,52,162,295]
[3090][134,(11, 26),3089,E,53,161,295]
[3094][137,(11, 27),3090,E,54,160,297]
[3107][141,(11, 28),3094,E,55,159,300]
[3130][143,(11, 29),3107,E,56,158,301]
[3141][146,(11, 30),3130,E,57,157,303]
[3164][148,(12, 30),3141,S,58,156,304]
[3174][152,(12, 31),3164,E,59,155,307]
[3212][153,(12, 32),3174,E,60,154,307]
[3214][155,(11, 32),3212,N,61,155,310]
[3253][157,(11, 31),3214,O,62,156,313]
[3291][159,(10, 31),3253,N,63,157,316]
[3325][162,(10, 32),3291,E,64,156,318]
[3352][164,(10, 33),3325,E,65,155,319]
[3361][167,(10, 34),3352,E,66,154,321]
[3385][169,(10, 35),3361,E,67,153,322]
[3405][173,(9, 35),3385,N,68,154,327]
[3485][174,(9, 34),3405,O,69,155,329]
[3510][176,(9, 33),3485,O,70,156,332]
[3562][177,(9, 32),3510,O,71,157,334]
[3587][180,(8, 32),3562,N,72,158,338]
[3667][183,(8, 31),3587,O,73,159,342]
[3751][184,(8, 30),3667,O,74,160,344]
[3797][185,(7, 30),3751,N,75,161,346]
[3838][187,(6, 30),3797,N,76,162,349]
[3908][191,(5, 30),3838,N,77,163,354]
[4060][193,(5, 31),3908,E,78,162,355]
[4083][194,(5, 32),4060,E,79,161,355]
[4085][198,(4, 32),4083,N,80,162,360]
[4229][201,(3, 32),4085,N,81,163,364]
[4345][203,(3, 33),4229,E,82,162,365]
[4370][206,(2, 33),4345,N,83,163,369]
[4455][207,(2, 34),4370,E,84,162,369]
[4458][209,(3, 34),4455,S,85,161,370]
[4485][211,(3, 35),4458,E,86,160,371]
[4511][213,(4, 35),4485,S,87,159,372]
[4540][214,(4, 36),4511,E,88,158,372]
[4543][215,(5, 36),4540,S,89,157,372]
[4546][216,(5, 37),4543,E,90,156,372]
[4548][217,(5, 38),4546,E,91,155,372]
[4551][219,(6, 38),4548,S,92,154,373]
[4583][220,(7, 38),4551,S,93,153,373]
[4585][223,(7, 39),4583,E,94,152,375]
[4623][226,(7, 40),4585,E,95,151,377]
[4703][227,(6, 40),4623,N,96,152,379]
[4767][229,(6, 41),4703,E,97,151,380]
[4803][233,(5, 41),4767,N,98,152,385]
[4956][235,(5, 42),4803,E,99,151,386]
[4984][237,(4, 42),4956,N,100,152,389]
[5076][240,(3, 42),4984,N,101,153,393]
[5216][244,(3, 43),5076,E,102,152,396]
[5318][247,(4, 43),5216,S,103,151,398]
[5380][249,(5, 43),5318,S,104,150,399]
[5426][251,(5, 44),5380,E,105,149,400]
[5447][255,(6, 44),5426,S,106,148,403]
[5567][258,(7, 44),5447,S,107,147,405]
[5628][262,(7, 45),5567,E,108,146,408]
[5694][265,(8, 45),5628,S,109,145,410]
[5764][266,(9, 45),5694,S,110,144,410]
[5767][270,(10, 45),5764,S,111,143,413]
[5910][271,(11, 45),5767,S,112,142,413]
[5912][272,(11, 46),5910,E,113,141,413]
[5914][273,(11, 47),5912,E,114,140,413]
[5918][276,(12, 47),5914,S,115,139,415]
[5982][279,(12, 48),5918,E,116,138,417]
[6043][280,(13, 48),5982,S,117,137,417]
[6047][284,(14, 48),6043,S,118,136,420]
[6133][287,(15, 48),6047,S,119,135,422]
[6169][289,(15, 49),6133,E,120,134,423]
[6192][290,(16, 49),6169,S,121,133,423]
[6196][294,(17, 49),6192,S,122,132,426]
[6266][297,(17, 50),6196,E,123,131,428]
[6305][301,(18, 50),6266,S,124,130,431]
[6362][304,(19, 50),6305,S,125,129,433]
[6409][306,(19, 51),6362,E,126,128,434]
[6413][309,(19, 52),6409,E,127,127,436]
[6469][310,(19, 53),6413,E,128,126,436]
[6472][312,(20, 53),6469,S,129,125,437]
[6495][314,(21, 53),6472,S,130,124,438]
[6510][317,(21, 54),6495,E,131,123,440]
[6544][321,(21, 55),6510,E,132,122,443]
[6587][323,(21, 56),6544,E,133,121,444]
[6601][325,(20, 56),6587,N,134,122,447]
[6665][327,(20, 57),6601,E,135,121,448]
[6677][328,(19, 57),6665,N,136,122,450]
[6721][329,(18, 57),6677,N,137,123,452]
[6758][331,(17, 57),6721,N,138,124,455]
[6801][333,(16, 57),6758,N,139,125,458]
[6855][337,(16, 58),6801,E,140,124,461]
[6924][340,(17, 58),6855,S,141,123,463]
[6976][341,(17, 59),6924,E,142,122,463]
[6978][344,(17, 60),6976,E,143,121,465]
[7028][345,(16, 60),6978,N,144,122,467]
[7049][349,(16, 61),7028,E,145,121,470]
[7102][351,(17, 61),7049,S,146,120,471]
[7121][352,(18, 61),7102,S,147,119,471]
[7123][355,(18, 62),7121,E,148,118,473]
[7156][356,(19, 62),7123,S,149,117,473]
[7160][357,(20, 62),7156,S,150,116,473]
[7162][360,(21, 62),7160,S,151,115,475]
[7206][362,(22, 62),7162,S,152,114,476]
[7218][364,(23, 62),7206,S,153,113,477]
[7248][366,(23, 61),7218,O,154,114,480]
[7292][368,(24, 61),7248,S,155,113,481]
[7318][369,(25, 61),7292,S,156,112,481]
[7320][372,(25, 60),7318,O,157,113,485]
[7383][376,(24, 60),7320,N,158,114,490]
[7451][378,(23, 60),7383,N,159,115,493]
[7496][381,(23, 59),7451,O,160,116,497]
[7550][382,(23, 58),7496,O,161,117,499]
[7582][385,(24, 58),7550,S,162,116,501]
[7613][388,(25, 58),7582,S,163,115,503]
[7663][389,(26, 58),7613,S,164,114,503]
[7667][393,(27, 58),7663,S,165,113,506]
[7731][394,(27, 59),7667,E,166,112,506]
[7734][397,(28, 59),7731,S,167,111,508]
[7777][399,(29, 59),7734,S,168,110,509]
[7797][400,(29, 60),7777,E,169,109,509]
[7799][401,(29, 61),7797,E,170,108,509]
[7802][403,(29, 62),7799,E,171,107,510]
[7821][404,(30, 62),7802,S,172,106,510]
[7825][405,(31, 62),7821,S,173,105,510]
[7828][406,(32, 62),7825,S,174,104,510]
[7831][409,(33, 62),7828,S,175,103,512]
[7882][410,(34, 62),7831,S,176,102,512]
[7885][412,(34, 63),7882,E,177,101,513]
[7931][415,(35, 63),7885,S,178,100,515]
[7974][416,(35, 64),7931,E,179,99,515]
[7975][420,(35, 65),7974,E,180,98,518]
[8081][422,(34, 65),7975,N,181,99,521]
[8162][423,(34, 66),8081,E,182,98,521]
[8165][425,(34, 67),8162,E,183,97,522]
[8189][429,(35, 67),8165,S,184,96,525]
[8290][433,(35, 68),8189,E,185,95,528]
[8387][436,(34, 68),8290,N,186,96,532]
[8522][439,(34, 69),8387,E,187,95,534]
[8603][441,(34, 70),8522,E,188,94,535]
[8648][442,(35, 70),8603,S,189,93,535]
[8651][443,(35, 71),8648,E,190,92,535]
[8652][445,(34, 71),8651,N,191,93,538]
[8776][447,(34, 72),8652,E,192,92,539]
[8807][448,(34, 73),8776,E,193,91,539]
[8809][449,(34, 74),8807,E,194,90,539]
[8812][450,(34, 75),8809,E,195,89,539]
[8814][454,(33, 75),8812,N,196,90,544]
[8989][455,(32, 75),8814,N,197,91,546]
[9087][457,(32, 74),8989,O,198,92,549]
[9217][458,(31, 74),9087,N,199,93,551]
[9314][461,(30, 74),9217,N,200,94,555]
[9474][465,(30, 75),9314,E,201,93,558]
[9583][469,(29, 75),9474,N,202,94,563]
[9725][472,(29, 76),9583,E,203,93,565]
[9770][473,(30, 76),9725,S,204,92,565]
[9775][477,(31, 76),9770,S,205,91,568]
[9851][479,(32, 76),9775,S,206,90,569]
[9860][483,(32, 77),9851,E,207,89,572]
[9936][484,(33, 77),9860,S,208,88,572]
[9939][488,(33, 78),9936,E,209,87,575]
[9992][491,(33, 79),9939,E,210,86,577]
[10025][495,(33, 80),9992,E,211,85,580]
[10103][496,(32, 80),10025,N,212,86,582]
[10146][499,(31, 80),10103,N,213,87,586]
[10218][501,(31, 79),10146,O,214,88,589]
[10264][504,(30, 79),10218,N,215,89,593]
[10303][507,(30, 78),10264,O,216,90,597]
[10361][510,(29, 78),10303,N,217,91,601]
[10394][511,(28, 78),10361,N,218,92,603]
[10428][515,(28, 79),10394,E,219,91,606]
[10460][517,(27, 79),10428,N,220,92,609]
[10509][521,(27, 80),10460,E,221,91,612]
[10560][522,(28, 80),10509,S,222,90,612]
[10563][526,(28, 81),10560,E,223,89,615]
[10620][530,(27, 81),10563,N,224,90,620]
[10708][532,(26, 81),10620,N,225,91,623]
[10785][536,(26, 82),10708,E,226,90,626]
[10876][537,(27, 82),10785,S,227,89,626]
[10879][538,(28, 82),10876,S,228,88,626]
[10881][541,(29, 82),10879,S,229,87,628]
[10933][544,(29, 83),10881,E,230,86,630]
[10986][545,(29, 84),10933,E,231,85,630]
[10989][546,(29, 85),10986,E,232,84,630]
[10991][547,(29, 86),10989,E,233,83,630]
[10994][549,(30, 86),10991,S,234,82,631]
[11031][550,(30, 85),10994,O,235,83,633]
[11089][552,(31, 85),11031,S,236,82,634]
[11129][556,(32, 85),11089,S,237,81,637]
[11206][558,(33, 85),11129,S,238,80,638]
[11271][561,(34, 85),11206,S,239,79,640]
[11340][563,(35, 85),11271,S,240,78,641]
[11381][564,(36, 85),11340,S,241,77,641]
[11383][565,(37, 85),11381,S,242,76,641]
[11385][569,(37, 84),11383,O,243,77,646]
[11517][573,(37, 83),11385,O,244,78,651]
[11657][575,(38, 83),11517,S,245,77,652]
[11692][579,(39, 83),11657,S,246,76,655]
[11800][582,(39, 84),11692,E,247,75,657]
[11868][584,(40, 84),11800,S,248,74,658]
[11927][586,(41, 84),11868,S,249,73,659]
[11961][587,(42, 84),11927,S,250,72,659]
[11964][589,(43, 84),11961,S,251,71,660]
[12023][592,(43, 85),11964,E,252,70,662]
[12094][596,(42, 85),12023,N,253,71,667]
[12261][598,(42, 86),12094,E,254,70,668]
[12292][601,(43, 86),12261,S,255,69,670]
[12342][603,(44, 86),12292,S,256,68,671]
[12367][607,(45, 86),12342,S,257,67,674]
[12434][609,(45, 87),12367,E,258,66,675]
[12461][611,(45, 88),12434,E,259,65,676]
[12499][613,(45, 89),12461,E,260,64,677]
[12527][617,(44, 89),12499,N,261,65,682]
[12651][618,(43, 89),12527,N,262,66,684]
[12701][621,(43, 90),12651,E,263,65,686]
[12753][623,(43, 91),12701,E,264,64,687]
[12783][625,(43, 92),12753,E,265,63,688]
[12808][629,(44, 92),12783,S,266,62,691]
[12890][630,(45, 92),12808,S,267,61,691]
[12894][631,(45, 93),12890,E,268,60,691]
[12896][635,(46, 93),12894,S,269,59,694]
[12986][637,(46, 92),12896,O,270,60,697]
[13084][641,(47, 92),12986,S,271,59,700]
[13198][644,(48, 92),13084,S,272,58,702]
[13273][646,(48, 91),13198,O,273,59,705]
[13380][649,(49, 91),13273,S,274,58,707]
[13450][651,(49, 92),13380,E,275,57,708]
[13473][655,(49, 93),13450,E,276,56,711]
[13529][659,(50, 93),13473,S,277,55,714]
[13595][661,(51, 93),13529,S,278,54,715]
[13611][663,(52, 93),13595,S,279,53,716]
[13649][665,(53, 93),13611,S,280,52,717]
[13673][667,(54, 93),13649,S,281,51,718]
[13712][669,(54, 92),13673,O,282,52,721]
[13789][673,(55, 92),13712,S,283,51,724]
[13907][675,(55, 91),13789,O,284,52,727]
[14000][679,(55, 90),13907,O,285,53,732]
[14108][680,(56, 90),14000,S,286,52,732]
[14110][681,(57, 90),14108,S,287,51,732]
[14113][685,(57, 91),14110,E,288,50,735]
[14186][688,(58, 91),14113,S,289,49,737]
[14231][689,(58, 92),14186,E,290,48,737]
[14234][693,(59, 92),14231,S,291,47,740]
[14286][694,(59, 91),14234,O,292,48,742]
[14317][696,(59, 90),14286,O,293,49,745]
[14406][699,(60, 90),14317,S,294,48,747]
[14449][702,(60, 91),14406,E,295,47,749]
[14488][705,(61, 91),14449,S,296,46,751]
[14547][709,(62, 91),14488,S,297,45,754]
[14628][710,(62, 92),14547,E,298,44,754]
[14630][712,(63, 92),14628,S,299,43,755]
[14663][715,(63, 91),14630,O,300,44,759]
[14753][716,(64, 91),14663,S,301,43,759]
[14756][719,(64, 90),14753,O,302,44,763]
[14832][721,(64, 89),14756,O,303,45,766]
[14881][723,(65, 89),14832,S,304,44,767]
[14910][725,(66, 89),14881,S,305,43,768]
[14929][729,(66, 90),14910,E,306,42,771]
[14988][732,(66, 91),14929,E,307,41,773]
[15031][734,(66, 92),14988,E,308,40,774]
[15058][736,(67, 92),15031,S,309,39,775]
[15087][739,(67, 93),15058,E,310,38,777]
[15116][741,(66, 93),15087,N,311,39,780]
