[id][cost,state,father_id,action,depth,h,value]
[21695][0,(0, 0),None,None,0,98, 98]
[21696][4,(0, 1),21695,E,1,97,101]
[21697][7,(1, 1),21696,S,2,96,103]
[21700][8,(1, 2),21697,E,3,95,103]
[21702][11,(0, 2),21700,N,4,96,107]
[21704][15,(0, 3),21702,E,5,95,110]
[21707][19,(0, 4),21704,E,6,94,113]
[21709][21,(1, 4),21707,S,7,93,114]
[21712][25,(1, 5),21709,E,8,92,117]
[21717][27,(1, 6),21712,E,9,91,118]
[21719][31,(1, 7),21717,E,10,90,121]
[21727][33,(1, 8),21719,E,11,89,122]
[21740][35,(1, 9),21727,E,12,88,123]
[21742][38,(1, 10),21740,E,13,87,125]
[21759][40,(2, 10),21742,S,14,86,126]
[21787][43,(3, 10),21759,S,15,85,128]
[21820][44,(4, 10),21787,S,16,84,128]
[21823][48,(5, 10),21820,S,17,83,131]
[21853][51,(6, 10),21823,S,18,82,133]
[21865][54,(7, 10),21853,S,19,81,135]
[21883][58,(7, 11),21865,E,20,80,138]
[21902][61,(7, 12),21883,E,21,79,140]
[21920][63,(7, 13),21902,E,22,78,141]
[21925][66,(6, 13),21920,N,23,79,145]
[21971][67,(6, 14),21925,E,24,78,145]
[21974][68,(6, 15),21971,E,25,77,145]
[21977][72,(7, 15),21974,S,26,76,148]
[22007][74,(7, 16),21977,E,27,75,149]
[22015][76,(6, 16),22007,N,28,76,152]
[22033][79,(6, 17),22015,E,29,75,154]
[22040][81,(6, 18),22033,E,30,74,155]
[22047][85,(6, 19),22040,E,31,73,158]
[22064][86,(7, 19),22047,S,32,72,158]
[22067][89,(7, 18),22064,O,33,73,162]
[22072][91,(8, 18),22067,S,34,72,163]
[22083][92,(8, 19),22072,E,35,71,163]
[22086][96,(9, 19),22083,S,36,70,166]
[22104][100,(10, 19),22086,S,37,69,169]
[22122][103,(10, 20),22104,E,38,68,171]
[22130][104,(9, 20),22122,N,39,69,173]
[22144][105,(8, 20),22130,N,40,70,175]
[22159][109,(8, 21),22144,E,41,69,178]
[22193][112,(8, 22),22159,E,42,68,180]
[22221][113,(8, 23),22193,E,43,67,180]
[22223][114,(7, 23),22221,N,44,68,182]
[22245][115,(7, 24),22223,E,45,67,182]
[22248][118,(8, 24),22245,S,46,66,184]
[22262][121,(8, 25),22248,E,47,65,186]
[22273][123,(8, 26),22262,E,48,64,187]
[22279][127,(7, 26),22273,N,49,65,192]
[22302][128,(7, 27),22279,E,50,64,192]
[22305][130,(7, 28),22302,E,51,63,193]
[22312][134,(6, 28),22305,N,52,64,198]
[22345][135,(5, 28),22312,N,53,65,200]
[22359][137,(5, 29),22345,E,54,64,201]
[22365][141,(5, 30),22359,E,55,63,204]
[22373][142,(4, 30),22365,N,56,64,206]
[22376][143,(4, 31),22373,E,57,63,206]
[22378][146,(5, 31),22376,S,58,62,208]
[22388][150,(5, 32),22378,E,59,61,211]
[22397][152,(6, 32),22388,S,60,60,212]
[22402][155,(6, 33),22397,E,61,59,214]
[22405][158,(6, 34),22402,E,62,58,216]
[22418][160,(6, 35),22405,E,63,57,217]
[22427][161,(6, 36),22418,E,64,56,217]
[22428][165,(7, 36),22427,S,65,55,220]
[22446][168,(7, 37),22428,E,66,54,222]
[22452][169,(7, 38),22446,E,67,53,222]
[22455][173,(8, 38),22452,S,68,52,225]
[22486][175,(9, 38),22455,S,69,51,226]
[22497][178,(9, 39),22486,E,70,50,228]
[22515][180,(9, 40),22497,E,71,49,229]
[22527][181,(10, 40),22515,S,72,48,229]
[22532][182,(10, 41),22527,E,73,47,229]
[22534][185,(10, 42),22532,E,74,46,231]
[22548][187,(10, 43),22534,E,75,45,232]
[22553][191,(11, 43),22548,S,76,44,235]
[22578][192,(11, 42),22553,O,77,45,237]
[22589][194,(11, 41),22578,O,78,46,240]
[22612][196,(11, 40),22589,O,79,47,243]
[22649][198,(12, 40),22612,S,80,46,244]
[22656][200,(12, 41),22649,E,81,45,245]
[22668][201,(12, 42),22656,E,82,44,245]
[22670][205,(12, 43),22668,E,83,43,248]
[22704][206,(12, 44),22670,E,84,42,248]
[22708][207,(12, 45),22704,E,85,41,248]
[22711][210,(12, 46),22708,E,86,40,250]
[22747][212,(12, 47),22711,E,87,39,251]
[22758][215,(13, 47),22747,S,88,38,253]
[22795][218,(14, 47),22758,S,89,37,255]
[22820][219,(14, 48),22795,E,90,36,255]
[22822][220,(15, 48),22820,S,91,35,255]
[22829][223,(15, 47),22822,O,92,36,259]
[22894][224,(16, 47),22829,S,93,35,259]
[22896][228,(16, 46),22894,O,94,36,264]
[22960][232,(17, 46),22896,S,95,35,267]
[23003][235,(17, 47),22960,E,96,34,269]
[23044][239,(17, 48),23003,E,97,33,272]
[23084][243,(17, 49),23044,E,98,32,275]
[23118][246,(18, 49),23084,S,99,31,277]
[23139][247,(18, 48),23118,O,100,32,279]
[23160][250,(18, 47),23139,O,101,33,283]
[23190][253,(19, 47),23160,S,102,32,285]
[23210][256,(19, 46),23190,O,103,33,289]
[23243][257,(20, 46),23210,S,104,32,289]
[23247][260,(21, 46),23243,S,105,31,291]
[23260][261,(21, 45),23247,O,106,32,293]
[23281][265,(22, 45),23260,S,107,31,296]
[23304][268,(22, 44),23281,O,108,32,300]
[23332][269,(22, 43),23304,O,109,33,302]
[23350][271,(22, 42),23332,O,110,34,305]
[23368][272,(23, 42),23350,S,111,33,305]
[23370][275,(23, 41),23368,O,112,34,309]
[23413][276,(24, 41),23370,S,113,33,309]
[23416][278,(24, 42),23413,E,114,32,310]
[23424][280,(25, 42),23416,S,115,31,311]
[23439][282,(25, 41),23424,O,116,32,314]
[23481][285,(26, 41),23439,S,117,31,316]
[23519][286,(26, 42),23481,E,118,30,316]
[23520][288,(26, 43),23519,E,119,29,317]
[23532][291,(26, 44),23520,E,120,28,319]
[23572][293,(27, 44),23532,S,121,27,320]
[23594][297,(27, 45),23572,E,122,26,323]
[23643][301,(28, 45),23594,S,123,25,326]
[23688][305,(28, 46),23643,E,124,24,329]
[23733][307,(28, 47),23688,E,125,23,330]
[23743][310,(28, 48),23733,E,126,22,332]
[23780][311,(29, 48),23743,S,127,21,332]
[23783][314,(30, 48),23780,S,128,20,334]
[23824][315,(30, 47),23783,O,129,21,336]
[23856][317,(30, 46),23824,O,130,22,339]
[23898][320,(30, 45),23856,O,131,23,343]
[23935][323,(31, 45),23898,S,132,22,345]
[23959][327,(32, 45),23935,S,133,21,348]
[24005][328,(32, 44),23959,O,134,22,350]
[24034][329,(33, 44),24005,S,135,21,350]
[24038][332,(33, 43),24034,O,136,22,354]
[24099][335,(34, 43),24038,S,137,21,356]
[24129][337,(35, 43),24099,S,138,20,357]
[24152][340,(36, 43),24129,S,139,19,359]
[24216][343,(36, 44),24152,E,140,18,361]
