[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][2,(1, 0),0,S,1,72,2]
[3][4,(1, 1),1,E,2,71,4]
[6][5,(2, 1),3,S,3,70,5]
[13][6,(2, 2),6,E,4,69,6]
[16][7,(2, 3),13,E,5,68,7]
[26][8,(3, 3),16,S,6,67,8]
[44][9,(4, 3),26,S,7,66,9]
[65][10,(4, 4),44,E,8,65,10]
[71][12,(4, 5),65,E,9,64,12]
[102][13,(5, 5),71,S,10,63,13]
[112][16,(5, 6),102,E,11,62,16]
[166][17,(5, 7),112,E,12,61,17]
[189][20,(5, 8),166,E,13,60,20]
[247][21,(5, 9),189,E,14,59,21]
[260][22,(5, 10),247,E,15,58,22]
[286][23,(5, 11),260,E,16,57,23]
[320][26,(5, 12),286,E,17,56,26]
[420][27,(4, 12),320,N,18,57,27]
[450][28,(4, 13),420,E,19,56,28]
[473][29,(4, 14),450,E,20,55,29]
[519][30,(4, 15),473,E,21,54,30]
[567][31,(5, 15),519,S,22,53,31]
[606][32,(5, 16),567,E,23,52,32]
[644][33,(5, 17),606,E,24,51,33]
[689][34,(6, 17),644,S,25,50,34]
[720][35,(6, 18),689,E,26,49,35]
[759][38,(6, 19),720,E,27,48,38]
[922][39,(6, 20),759,E,28,47,39]
[970][40,(6, 21),922,E,29,46,40]
[1027][41,(7, 21),970,S,30,45,41]
[1079][42,(8, 21),1027,S,31,44,42]
[1146][43,(9, 21),1079,S,32,43,43]
[1222][44,(10, 21),1146,S,33,42,44]
[1287][45,(11, 21),1222,S,34,41,45]
[1347][46,(12, 21),1287,S,35,40,46]
[1423][47,(12, 22),1347,E,36,39,47]
[1470][48,(12, 23),1423,E,37,38,48]
[1529][49,(13, 23),1470,S,38,37,49]
[1617][50,(14, 23),1529,S,39,36,50]
[1697][51,(14, 24),1617,E,40,35,51]
[1801][52,(14, 25),1697,E,41,34,52]
[1842][53,(15, 25),1801,S,42,33,53]
[1895][54,(15, 26),1842,E,43,32,54]
[1944][55,(16, 26),1895,S,44,31,55]
[1992][56,(16, 27),1944,E,45,30,56]
[2050][59,(16, 28),1992,E,46,29,59]
[2195][61,(16, 29),2050,E,47,28,61]
[2297][62,(16, 30),2195,E,48,27,62]
[2351][64,(17, 30),2297,S,49,26,64]
[2457][65,(18, 30),2351,S,50,25,65]
[2515][67,(18, 31),2457,E,51,24,67]
[2644][68,(18, 32),2515,E,52,23,68]
[2687][69,(18, 33),2644,E,53,22,69]
[2718][70,(18, 34),2687,E,54,21,70]
[2791][71,(19, 34),2718,S,55,20,71]
[2822][72,(19, 35),2791,E,56,19,72]
[2877][73,(19, 36),2822,E,57,18,73]
[2934][74,(19, 37),2877,E,58,17,74]
[2976][76,(19, 38),2934,E,59,16,76]
[3073][77,(20, 38),2976,S,60,15,77]
[3125][78,(20, 39),3073,E,61,14,78]
[3160][79,(21, 39),3125,S,62,13,79]
[3218][81,(21, 40),3160,E,63,12,81]
[3307][82,(21, 41),3218,E,64,11,82]
[3360][83,(21, 42),3307,E,65,10,83]
[3409][84,(21, 43),3360,E,66,9,84]
[3470][85,(21, 44),3409,E,67,8,85]
[3536][87,(22, 44),3470,S,68,7,87]
[3649][88,(22, 45),3536,E,69,6,88]
[3713][89,(23, 45),3649,S,70,5,89]
[3781][91,(23, 46),3713,E,71,4,91]
[3870][92,(23, 47),3781,E,72,3,92]
[3907][93,(23, 48),3870,E,73,2,93]
[3926][94,(24, 48),3907,S,74,1,94]
[3946][96,(24, 49),3926,E,75,0,96]
