[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,198]
[1][1,(0, 1),0,E,1,197,198]
[4][3,(1, 1),1,S,2,196,199]
[12][4,(1, 2),4,E,3,195,199]
[16][5,(1, 3),12,E,4,194,199]
[20][6,(2, 3),16,S,5,193,199]
[32][7,(3, 3),20,S,6,192,199]
[47][8,(4, 3),32,S,7,191,199]
[57][9,(4, 4),47,E,8,190,199]
[61][10,(5, 4),57,S,9,189,199]
[73][11,(5, 5),61,E,10,188,199]
[76][12,(5, 6),73,E,11,187,199]
[79][13,(5, 7),76,E,12,186,199]
[83][14,(5, 8),79,E,13,185,199]
[87][15,(5, 9),83,E,14,184,199]
[92][16,(6, 9),87,S,15,183,199]
[115][17,(7, 9),92,S,16,182,199]
[120][18,(7, 10),115,E,17,181,199]
[125][19,(8, 10),120,S,18,180,199]
[135][20,(8, 11),125,E,19,179,199]
[138][21,(9, 11),135,S,20,178,199]
[147][23,(9, 12),138,E,21,177,200]
[228][24,(9, 13),147,E,22,176,200]
[233][25,(10, 13),228,S,23,175,200]
[253][26,(11, 13),233,S,24,174,200]
[266][28,(12, 13),253,S,25,173,201]
[371][29,(13, 13),266,S,26,172,201]
[379][30,(14, 13),371,S,27,171,201]
[386][31,(15, 13),379,S,28,170,201]
[401][34,(16, 13),386,S,29,169,203]
[647][35,(16, 14),401,E,30,168,203]
[650][36,(17, 14),647,S,31,167,203]
[666][37,(18, 14),650,S,32,166,203]
[676][38,(19, 14),666,S,33,165,203]
[683][39,(20, 14),676,S,34,164,203]
[688][40,(20, 15),683,E,35,163,203]
[692][41,(21, 15),688,S,36,162,203]
[699][42,(21, 16),692,E,37,161,203]
[703][43,(21, 17),699,E,38,160,203]
[707][44,(21, 18),703,E,39,159,203]
[711][45,(22, 18),707,S,40,158,203]
[727][46,(23, 18),711,S,41,157,203]
[739][47,(24, 18),727,S,42,156,203]
[746][48,(24, 19),739,E,43,155,203]
[750][49,(24, 20),746,E,44,154,203]
[754][50,(25, 20),750,S,45,153,203]
[765][51,(25, 21),754,E,46,152,203]
[769][52,(25, 22),765,E,47,151,203]
[773][53,(25, 23),769,E,48,150,203]
[778][54,(26, 23),773,S,49,149,203]
[796][55,(26, 24),778,E,50,148,203]
[799][56,(26, 25),796,E,51,147,203]
[801][57,(26, 26),799,E,52,146,203]
[804][58,(27, 26),801,S,53,145,203]
[818][59,(28, 26),804,S,54,144,203]
[832][60,(28, 27),818,E,55,143,203]
[835][61,(28, 28),832,E,56,142,203]
[839][62,(28, 29),835,E,57,141,203]
[844][63,(29, 29),839,S,58,140,203]
[860][64,(29, 30),844,E,59,139,203]
[865][65,(30, 30),860,S,60,138,203]
[875][66,(31, 30),865,S,61,137,203]
[903][67,(32, 30),875,S,62,136,203]
[927][68,(32, 31),903,E,63,135,203]
[930][69,(32, 32),927,E,64,134,203]
[935][70,(33, 32),930,S,65,133,203]
[959][71,(33, 33),935,E,66,132,203]
[963][72,(34, 33),959,S,67,131,203]
[981][73,(35, 33),963,S,68,130,203]
[1000][74,(36, 33),981,S,69,129,203]
[1006][75,(36, 34),1000,E,70,128,203]
[1009][76,(37, 34),1006,S,71,127,203]
[1016][79,(38, 34),1009,S,72,126,205]
[1548][80,(39, 34),1016,S,73,125,205]
[1555][81,(39, 35),1548,E,74,124,205]
[1559][82,(39, 36),1555,E,75,123,205]
[1562][85,(39, 37),1559,E,76,122,207]
[2410][86,(40, 37),1562,S,77,121,207]
[2416][87,(40, 38),2410,E,78,120,207]
[2419][88,(40, 39),2416,E,79,119,207]
[2423][89,(40, 40),2419,E,80,118,207]
[2426][90,(40, 41),2423,E,81,117,207]
[2430][91,(40, 42),2426,E,82,116,207]
[2434][93,(40, 43),2430,E,83,115,208]
[2791][94,(40, 44),2434,E,84,114,208]
[2795][96,(41, 44),2791,S,85,113,209]
[3215][97,(42, 44),2795,S,86,112,209]
[3233][98,(42, 45),3215,E,87,111,209]
[3237][99,(42, 46),3233,E,88,110,209]
[3241][102,(42, 47),3237,E,89,109,211]
[4173][103,(43, 47),3241,S,90,108,211]
[4189][104,(43, 48),4173,E,91,107,211]
[4192][105,(43, 49),4189,E,92,106,211]
[4196][107,(43, 50),4192,E,93,105,212]
[4868][108,(44, 50),4196,S,94,104,212]
[4880][111,(44, 51),4868,E,95,103,214]
[5719][112,(44, 52),4880,E,96,102,214]
[5723][114,(45, 52),5719,S,97,101,215]
[6176][115,(45, 53),5723,E,98,100,215]
