[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,98]
[1][2,(1, 0),0,S,1,97,97]
[3][5,(1, 1),1,E,2,96,96]
[5][6,(1, 2),3,E,3,95,95]
[9][7,(1, 3),5,E,4,94,94]
[12][8,(1, 4),9,E,5,93,93]
[15][10,(2, 4),12,S,6,92,92]
[18][11,(2, 5),15,E,7,91,91]
[21][12,(2, 6),18,E,8,90,90]
[25][14,(2, 7),21,E,9,89,89]
[29][15,(3, 7),25,S,10,88,88]
[32][18,(3, 8),29,E,11,87,87]
[36][20,(3, 9),32,E,12,86,86]
[39][22,(4, 9),36,S,13,85,85]
[42][23,(4, 10),39,E,14,84,84]
[45][24,(4, 11),42,E,15,83,83]
[49][25,(5, 11),45,S,16,82,82]
[52][28,(5, 12),49,E,17,81,81]
[56][29,(6, 12),52,S,18,80,80]
[59][30,(6, 13),56,E,19,79,79]
[63][32,(6, 14),59,E,20,78,78]
[67][33,(7, 14),63,S,21,77,77]
[70][34,(7, 15),67,E,22,76,76]
[72][38,(8, 15),70,S,23,75,75]
[75][39,(8, 16),72,E,24,74,74]
[78][40,(9, 16),75,S,25,73,73]
[81][43,(9, 17),78,E,26,72,72]
[85][44,(9, 18),81,E,27,71,71]
[88][45,(9, 19),85,E,28,70,70]
[91][46,(9, 20),88,E,29,69,69]
[94][48,(9, 21),91,E,30,68,68]
[98][52,(9, 22),94,E,31,67,67]
[102][55,(10, 22),98,S,32,66,66]
[105][56,(10, 23),102,E,33,65,65]
[108][58,(10, 24),105,E,34,64,64]
[112][60,(11, 24),108,S,35,63,63]
[115][64,(11, 25),112,E,36,62,62]
[119][65,(11, 26),115,E,37,61,61]
[123][67,(11, 27),119,E,38,60,60]
[126][71,(11, 28),123,E,39,59,59]
[130][74,(11, 29),126,E,40,58,58]
[134][76,(12, 29),130,S,41,57,57]
[137][77,(12, 30),134,E,42,56,56]
[141][79,(12, 31),137,E,43,55,55]
[145][80,(12, 32),141,E,44,54,54]
[149][81,(12, 33),145,E,45,53,53]
[153][82,(12, 34),149,E,46,52,52]
[156][84,(12, 35),153,E,47,51,51]
[159][85,(12, 36),156,E,48,50,50]
[163][86,(12, 37),159,E,49,49,49]
[167][89,(12, 38),163,E,50,48,48]
[171][92,(12, 39),167,E,51,47,47]
[175][93,(12, 40),171,E,52,46,46]
[178][94,(12, 41),175,E,53,45,45]
[183][95,(13, 41),178,S,54,44,44]
[190][96,(14, 41),183,S,55,43,43]
[193][100,(14, 42),190,E,56,42,42]
[196][103,(14, 43),193,E,57,41,41]
[198][104,(14, 44),196,E,58,40,40]
[202][105,(14, 45),198,E,59,39,39]
[206][106,(14, 46),202,E,60,38,38]
[210][107,(15, 46),206,S,61,37,37]
[213][111,(15, 47),210,E,62,36,36]
[216][112,(15, 48),213,E,63,35,35]
[220][113,(15, 49),216,E,64,34,34]
[224][114,(16, 49),220,S,65,33,33]
[227][115,(17, 49),224,S,66,32,32]
[230][118,(18, 49),227,S,67,31,31]
[232][119,(19, 49),230,S,68,30,30]
[235][123,(19, 48),232,O,69,31,31]
[238][124,(20, 48),235,S,70,30,30]
[242][125,(21, 48),238,S,71,29,29]
[250][126,(22, 48),242,S,72,28,28]
[253][129,(22, 49),250,E,73,27,27]
[256][132,(23, 49),253,S,74,26,26]
[259][133,(24, 49),256,S,75,25,25]
[262][134,(25, 49),259,S,76,24,24]
[265][135,(25, 48),262,O,77,25,25]
[268][137,(26, 48),265,S,78,24,24]
[272][140,(27, 48),268,S,79,23,23]
[280][141,(27, 47),272,O,80,24,24]
[283][143,(28, 47),280,S,81,23,23]
[286][147,(28, 48),283,E,82,22,22]
[288][148,(28, 49),286,E,83,21,21]
[291][150,(29, 49),288,S,84,20,20]
[294][154,(30, 49),291,S,85,19,19]
[297][155,(30, 48),294,O,86,20,20]
[299][156,(31, 48),297,S,87,19,19]
[303][158,(32, 48),299,S,88,18,18]
[309][159,(32, 47),303,O,89,19,19]
[312][161,(33, 47),309,S,90,18,18]
[315][163,(33, 48),312,E,91,17,17]
[317][164,(34, 48),315,S,92,16,16]
[321][165,(35, 48),317,S,93,15,15]
[334][166,(36, 48),321,S,94,14,14]
[337][169,(37, 48),334,S,95,13,13]
[340][170,(38, 48),337,S,96,12,12]
[343][172,(39, 48),340,S,97,11,11]
[346][174,(39, 49),343,E,98,10,10]
[350][177,(40, 49),346,S,99,9,9]
[353][180,(41, 49),350,S,100,8,8]
[355][181,(42, 49),353,S,101,7,7]
[358][184,(42, 48),355,O,102,8,8]
[360][185,(43, 48),358,S,103,7,7]
[364][189,(44, 48),360,S,104,6,6]
[370][190,(45, 48),364,S,105,5,5]
[373][191,(45, 49),370,E,106,4,4]
[376][193,(46, 49),373,S,107,3,3]
[379][195,(47, 49),376,S,108,2,2]
[382][196,(48, 49),379,S,109,1,1]
[385][200,(49, 49),382,S,110,0,0]
