[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[2][3,(1, 0),0,S,1,72,3]
[7][5,(2, 0),2,S,2,71,5]
[13][6,(3, 0),7,S,3,70,6]
[22][7,(3, 1),13,E,4,69,7]
[35][8,(4, 1),22,S,5,68,8]
[52][10,(5, 1),35,S,6,67,10]
[80][11,(5, 2),52,E,7,66,11]
[92][12,(6, 2),80,S,8,65,12]
[110][13,(7, 2),92,S,9,64,13]
[135][14,(8, 2),110,S,10,63,14]
[151][15,(8, 3),135,E,11,62,15]
[164][16,(9, 3),151,S,12,61,16]
[182][17,(10, 3),164,S,13,60,17]
[195][18,(11, 3),182,S,14,59,18]
[229][19,(11, 4),195,E,15,58,19]
[254][21,(11, 5),229,E,16,57,21]
[320][22,(11, 6),254,E,17,56,22]
[346][25,(11, 7),320,E,18,55,25]
[447][26,(11, 8),346,E,19,54,26]
[485][27,(12, 8),447,S,20,53,27]
[532][30,(12, 9),485,E,21,52,30]
[636][31,(12, 10),532,E,22,51,31]
[671][32,(13, 10),636,S,23,50,32]
[711][33,(14, 10),671,S,24,49,33]
[751][34,(14, 11),711,E,25,48,34]
[788][35,(15, 11),751,S,26,47,35]
[848][37,(16, 11),788,S,27,46,37]
[933][38,(16, 12),848,E,28,45,38]
[986][39,(17, 12),933,S,29,44,39]
[1036][40,(17, 13),986,E,30,43,40]
[1088][41,(17, 14),1036,E,31,42,41]
[1144][42,(17, 15),1088,E,32,41,42]
[1212][43,(17, 16),1144,E,33,40,43]
[1261][44,(18, 16),1212,S,34,39,44]
[1318][45,(19, 16),1261,S,35,38,45]
[1393][47,(20, 16),1318,S,36,37,47]
[1531][48,(21, 16),1393,S,37,36,48]
[1594][49,(22, 16),1531,S,38,35,49]
[1648][52,(23, 16),1594,S,39,34,52]
[1833][54,(24, 16),1648,S,40,33,54]
[1959][55,(25, 16),1833,S,41,32,55]
[2023][56,(25, 17),1959,E,42,31,56]
[2065][57,(26, 17),2023,S,43,30,57]
[2119][58,(27, 17),2065,S,44,29,58]
[2170][60,(28, 17),2119,S,45,28,60]
[2277][61,(29, 17),2170,S,46,27,61]
[2319][62,(30, 17),2277,S,47,26,62]
[2380][63,(30, 18),2319,E,48,25,63]
[2436][64,(30, 19),2380,E,49,24,64]
[2480][65,(30, 20),2436,E,50,23,65]
[2551][66,(31, 20),2480,S,51,22,66]
[2618][68,(31, 21),2551,E,52,21,68]
[2702][69,(32, 21),2618,S,53,20,69]
[2751][70,(33, 21),2702,S,54,19,70]
[2786][71,(34, 21),2751,S,55,18,71]
[2856][73,(35, 21),2786,S,56,17,73]
[2963][74,(36, 21),2856,S,57,16,74]
[3028][76,(37, 21),2963,S,58,15,76]
[3117][77,(38, 21),3028,S,59,14,77]
[3189][78,(39, 21),3117,S,60,13,78]
[3220][81,(40, 21),3189,S,61,12,81]
[3382][82,(40, 22),3220,E,62,11,82]
[3434][83,(41, 22),3382,S,63,10,83]
[3488][86,(42, 22),3434,S,64,9,86]
[3612][88,(43, 22),3488,S,65,8,88]
[3704][89,(44, 22),3612,S,66,7,89]
[3737][90,(45, 22),3704,S,67,6,90]
[3775][91,(46, 22),3737,S,68,5,91]
[3802][92,(46, 23),3775,E,69,4,92]
[3830][94,(47, 23),3802,S,70,3,94]
[3888][96,(47, 24),3830,E,71,2,96]
[3940][97,(48, 24),3888,S,72,1,97]
[3954][98,(49, 24),3940,S,73,0,98]
