[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,98]
[1][2,(1, 0),0,S,1,97,99]
[3][5,(1, 1),1,E,2,96,101]
[5][6,(1, 2),3,E,3,95,101]
[9][7,(1, 3),5,E,4,94,101]
[12][8,(1, 4),9,E,5,93,101]
[15][10,(2, 4),12,S,6,92,102]
[33][11,(2, 5),15,E,7,91,102]
[37][12,(3, 5),33,S,8,90,102]
[48][13,(4, 5),37,S,9,89,102]
[60][14,(5, 5),48,S,10,88,102]
[67][16,(6, 5),60,S,11,87,103]
[111][17,(7, 5),67,S,12,86,103]
[126][18,(8, 5),111,S,13,85,103]
[138][19,(9, 5),126,S,14,84,103]
[143][20,(9, 6),138,E,15,83,103]
[146][21,(10, 6),143,S,16,82,103]
[154][22,(11, 6),146,S,17,81,103]
[165][23,(12, 6),154,S,18,80,103]
[174][24,(12, 7),165,E,19,79,103]
[177][25,(12, 8),174,E,20,78,103]
[180][26,(12, 9),177,E,21,77,103]
[183][27,(13, 9),180,S,22,76,103]
[193][28,(13, 10),183,E,23,75,103]
[197][29,(14, 10),193,S,24,74,103]
[203][30,(15, 10),197,S,25,73,103]
[210][32,(16, 10),203,S,26,72,104]
[367][34,(17, 10),210,S,27,71,105]
[540][35,(18, 10),367,S,28,70,105]
[544][36,(19, 10),540,S,29,69,105]
[557][38,(19, 9),544,O,30,70,108]
[1068][39,(20, 9),557,S,31,69,108]
[1076][40,(21, 9),1068,S,32,68,108]
[1085][41,(21, 10),1076,E,33,67,108]
[1089][42,(22, 10),1085,S,34,66,108]
[1095][43,(23, 10),1089,S,35,65,108]
[1107][44,(23, 11),1095,E,36,64,108]
[1111][45,(24, 11),1107,S,37,63,108]
[1126][47,(25, 11),1111,S,38,62,109]
[1331][50,(26, 11),1126,S,39,61,111]
[1643][54,(27, 11),1331,S,40,60,114]
[2212][55,(28, 11),1643,S,41,59,114]
[2225][57,(29, 11),2212,S,42,58,115]
[2414][58,(29, 12),2225,E,43,57,115]
[2416][59,(29, 13),2414,E,44,56,115]
[2420][60,(30, 13),2416,S,45,55,115]
[2438][61,(31, 13),2420,S,46,54,115]
[2447][62,(32, 13),2438,S,47,53,115]
[2454][63,(33, 13),2447,S,48,52,115]
[2462][64,(34, 13),2454,S,49,51,115]
[2468][65,(34, 14),2462,E,50,50,115]
[2471][66,(34, 15),2468,E,51,49,115]
[2474][67,(34, 16),2471,E,52,48,115]
[2478][68,(34, 17),2474,E,53,47,115]
[2482][70,(34, 18),2478,E,54,46,116]
[2642][71,(34, 19),2482,E,55,45,116]
[2645][72,(34, 20),2642,E,56,44,116]
[2649][73,(35, 20),2645,S,57,43,116]
[2663][74,(35, 21),2649,E,58,42,116]
[2667][75,(36, 21),2663,S,59,41,116]
[2681][76,(37, 21),2667,S,60,40,116]
[2695][78,(38, 21),2681,S,61,39,117]
[2934][79,(39, 21),2695,S,62,38,117]
[2945][80,(39, 22),2934,E,63,37,117]
[2950][81,(40, 22),2945,S,64,36,117]
[2966][82,(41, 22),2950,S,65,35,117]
[2977][84,(42, 22),2966,S,66,34,118]
[3300][86,(43, 22),2977,S,67,33,119]
[3609][87,(43, 23),3300,E,68,32,119]
[3613][88,(43, 24),3609,E,69,31,119]
[3618][89,(44, 24),3613,S,70,30,119]
[3631][90,(45, 24),3618,S,71,29,119]
[3638][91,(45, 25),3631,E,72,28,119]
[3642][93,(45, 26),3638,E,73,27,120]
[3930][94,(46, 26),3642,S,74,26,120]
[3933][98,(46, 27),3930,E,75,25,123]
[4842][100,(46, 28),3933,E,76,24,124]
[5232][101,(47, 28),4842,S,77,23,124]
[5246][102,(47, 29),5232,E,78,22,124]
[5249][104,(47, 30),5246,E,79,21,125]
[5608][106,(47, 31),5249,E,80,20,126]
[5915][107,(47, 32),5608,E,81,19,126]
[5917][108,(47, 33),5915,E,82,18,126]
[5919][110,(47, 34),5917,E,83,17,127]
[6315][111,(47, 35),5919,E,84,16,127]
[6318][112,(47, 36),6315,E,85,15,127]
[6321][113,(47, 37),6318,E,86,14,127]
[6324][115,(47, 38),6321,E,87,13,128]
[6624][116,(48, 38),6324,S,88,12,128]
[6640][117,(48, 39),6624,E,89,11,128]
[6644][118,(48, 40),6640,E,90,10,128]
[6647][119,(48, 41),6644,E,91,9,128]
[6651][120,(48, 42),6647,E,92,8,128]
[6654][121,(48, 43),6651,E,93,7,128]
[6657][122,(48, 44),6654,E,94,6,128]
[6660][123,(48, 45),6657,E,95,5,128]
[6664][124,(48, 46),6660,E,96,4,128]
[6668][125,(48, 47),6664,E,97,3,128]
[6672][127,(48, 48),6668,E,98,2,129]
[6985][128,(49, 48),6672,S,99,1,129]
[7006][129,(49, 49),6985,E,100,0,129]
