[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,0]
[1][3,(0, 1),0,E,1,72,1]
[3][7,(0, 2),1,E,2,71,2]
[8][10,(0, 3),3,E,3,70,3]
[16][11,(0, 4),8,E,4,69,4]
[28][12,(0, 5),16,E,5,68,5]
[43][13,(0, 6),28,E,6,67,6]
[60][14,(0, 7),43,E,7,66,7]
[79][15,(0, 8),60,E,8,65,8]
[102][18,(0, 9),79,E,9,64,9]
[129][22,(0, 10),102,E,10,63,10]
[162][25,(1, 10),129,S,11,62,11]
[197][26,(1, 11),162,E,12,61,12]
[233][27,(2, 11),197,S,13,60,13]
[278][28,(2, 12),233,E,14,59,14]
[322][30,(2, 13),278,E,15,58,15]
[367][31,(3, 13),322,S,16,57,16]
[415][35,(4, 13),367,S,17,56,17]
[466][38,(4, 14),415,E,18,55,18]
[518][39,(5, 14),466,S,19,54,19]
[574][40,(5, 15),518,E,20,53,20]
[629][44,(5, 16),574,E,21,52,21]
[691][45,(6, 16),629,S,22,51,22]
[763][47,(6, 17),691,E,23,50,23]
[832][48,(7, 17),763,S,24,49,24]
[901][50,(8, 17),832,S,25,48,25]
[974][51,(9, 17),901,S,26,47,26]
[1055][55,(10, 17),974,S,27,46,27]
[1140][59,(11, 17),1055,S,28,45,28]
[1231][63,(12, 17),1140,S,29,44,29]
[1323][67,(13, 17),1231,S,30,43,30]
[1403][68,(14, 17),1323,S,31,42,31]
[1479][69,(15, 17),1403,S,32,41,32]
[1558][70,(15, 18),1479,E,33,40,33]
[1637][73,(16, 18),1558,S,34,39,34]
[1715][75,(17, 18),1637,S,35,38,35]
[1788][77,(18, 18),1715,S,36,37,36]
[1866][78,(19, 18),1788,S,37,36,37]
[1948][81,(20, 18),1866,S,38,35,38]
[2021][82,(21, 18),1948,S,39,34,39]
[2090][83,(21, 19),2021,E,40,33,40]
[2166][86,(21, 20),2090,E,41,32,41]
[2245][87,(22, 20),2166,S,42,31,42]
[2321][88,(23, 20),2245,S,43,30,43]
[2395][89,(23, 21),2321,E,44,29,44]
[2470][90,(24, 21),2395,S,45,28,45]
[2552][92,(25, 21),2470,S,46,27,46]
[2636][93,(26, 21),2552,S,47,26,47]
[2720][96,(26, 22),2636,E,48,25,48]
[2805][97,(26, 23),2720,E,49,24,49]
[2889][100,(27, 23),2805,S,50,23,50]
[2971][101,(28, 23),2889,S,51,22,51]
[3053][104,(29, 23),2971,S,52,21,52]
[3128][106,(30, 23),3053,S,53,20,53]
[3201][108,(31, 23),3128,S,54,19,54]
[3280][109,(32, 23),3201,S,55,18,55]
[3359][112,(33, 23),3280,S,56,17,56]
[3429][114,(34, 23),3359,S,57,16,57]
[3489][117,(35, 23),3429,S,58,15,58]
[3543][119,(36, 23),3489,S,59,14,59]
[3598][120,(37, 23),3543,S,60,13,60]
[3652][121,(38, 23),3598,S,61,12,61]
[3699][122,(39, 23),3652,S,62,11,62]
[3740][123,(40, 23),3699,S,63,10,63]
[3780][125,(41, 23),3740,S,64,9,64]
[3814][126,(42, 23),3780,S,65,8,65]
[3849][129,(43, 23),3814,S,66,7,66]
[3878][131,(43, 24),3849,E,67,6,67]
[3895][134,(44, 24),3878,S,68,5,68]
[3908][137,(45, 24),3895,S,69,4,69]
[3923][138,(46, 24),3908,S,70,3,70]
[3943][140,(47, 24),3923,S,71,2,71]
[3960][141,(48, 24),3943,S,72,1,72]
[3971][142,(49, 24),3960,S,73,0,73]
