[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,48]
[1][2,(1, 0),0,S,1,47,47]
[4][3,(2, 0),1,S,2,46,46]
[8][4,(2, 1),4,E,3,45,45]
[9][7,(2, 2),8,E,4,44,44]
[13][8,(2, 3),9,E,5,43,43]
[17][9,(2, 4),13,E,6,42,42]
[21][10,(3, 4),17,S,7,41,41]
[24][11,(3, 5),21,E,8,40,40]
[28][12,(3, 6),24,E,9,39,39]
[32][13,(3, 7),28,E,10,38,38]
[35][14,(4, 7),32,S,11,37,37]
[38][18,(5, 7),35,S,12,36,36]
[42][20,(6, 7),38,S,13,35,35]
[46][24,(6, 8),42,E,14,34,34]
[49][27,(6, 9),46,E,15,33,33]
[51][29,(7, 9),49,S,16,32,32]
[54][31,(7, 10),51,E,17,31,31]
[58][34,(7, 11),54,E,18,30,30]
[62][35,(7, 12),58,E,19,29,29]
[66][36,(7, 13),62,E,20,28,28]
[70][37,(7, 14),66,E,21,27,27]
[73][39,(8, 14),70,S,22,26,26]
[76][41,(8, 15),73,E,23,25,25]
[78][43,(8, 16),76,E,24,24,24]
[81][44,(8, 17),78,E,25,23,23]
[84][45,(8, 18),81,E,26,22,22]
[88][46,(8, 19),84,E,27,21,21]
[92][47,(8, 20),88,E,28,20,20]
[96][48,(9, 20),92,S,29,19,19]
[99][49,(9, 21),96,E,30,18,18]
[103][50,(9, 22),99,E,31,17,17]
[107][52,(9, 23),103,E,32,16,16]
[111][54,(9, 24),107,E,33,15,15]
[115][56,(10, 24),111,S,34,14,14]
[118][59,(11, 24),115,S,35,13,13]
[120][62,(12, 24),118,S,36,12,12]
[122][63,(13, 24),120,S,37,11,11]
[125][65,(14, 24),122,S,38,10,10]
[127][68,(15, 24),125,S,39,9,9]
[130][71,(16, 24),127,S,40,8,8]
[133][75,(17, 24),130,S,41,7,7]
[135][76,(18, 24),133,S,42,6,6]
[138][79,(18, 23),135,O,43,7,7]
[141][83,(19, 23),138,S,44,6,6]
[144][85,(19, 24),141,E,45,5,5]
[147][88,(20, 24),144,S,46,4,4]
[150][90,(21, 24),147,S,47,3,3]
[153][94,(22, 24),150,S,48,2,2]
[156][96,(23, 24),153,S,49,1,1]
[158][99,(23, 23),156,O,50,2,2]
[161][101,(24, 23),158,S,51,1,1]
[164][102,(24, 24),161,E,52,0,0]
