[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,0]
[1][1,(0, 1),0,E,1,197,1]
[4][3,(1, 1),1,S,2,196,3]
[12][4,(1, 2),4,E,3,195,4]
[16][5,(1, 3),12,E,4,194,5]
[24][6,(2, 3),16,S,5,193,6]
[37][7,(3, 3),24,S,6,192,7]
[55][8,(4, 3),37,S,7,191,8]
[71][9,(4, 4),55,E,8,190,9]
[92][10,(5, 4),71,S,9,189,10]
[118][11,(5, 5),92,E,10,188,11]
[136][12,(5, 6),118,E,11,187,12]
[158][13,(5, 7),136,E,12,186,13]
[180][14,(5, 8),158,E,13,185,14]
[196][15,(5, 9),180,E,14,184,15]
[216][16,(6, 9),196,S,15,183,16]
[245][17,(7, 9),216,S,16,182,17]
[268][18,(7, 10),245,E,17,181,18]
[310][19,(8, 10),268,S,18,180,19]
[339][20,(8, 11),310,E,19,179,20]
[377][21,(9, 11),339,S,20,178,21]
[413][23,(9, 12),377,E,21,177,23]
[499][24,(9, 13),413,E,22,176,24]
[551][25,(10, 13),499,S,23,175,25]
[590][26,(11, 13),551,S,24,174,26]
[624][28,(12, 13),590,S,25,173,28]
[726][29,(13, 13),624,S,26,172,29]
[803][30,(14, 13),726,S,27,171,30]
[868][31,(15, 13),803,S,28,170,31]
[926][34,(16, 13),868,S,29,169,34]
[1112][35,(16, 14),926,E,30,168,35]
[1168][36,(17, 14),1112,S,31,167,36]
[1240][37,(18, 14),1168,S,32,166,37]
[1303][38,(19, 14),1240,S,33,165,38]
[1366][39,(20, 14),1303,S,34,164,39]
[1442][40,(20, 15),1366,E,35,163,40]
[1504][41,(21, 15),1442,S,36,162,41]
[1559][42,(21, 16),1504,E,37,161,42]
[1643][43,(21, 17),1559,E,38,160,43]
[1713][44,(21, 18),1643,E,39,159,44]
[1798][45,(22, 18),1713,S,40,158,45]
[1876][46,(23, 18),1798,S,41,157,46]
[1950][47,(24, 18),1876,S,42,156,47]
[2044][48,(24, 19),1950,E,43,155,48]
[2131][49,(24, 20),2044,E,44,154,49]
[2231][50,(25, 20),2131,S,45,153,50]
[2319][51,(25, 21),2231,E,46,152,51]
[2394][52,(25, 22),2319,E,47,151,52]
[2500][53,(25, 23),2394,E,48,150,53]
[2600][54,(26, 23),2500,S,49,149,54]
[2715][55,(26, 24),2600,E,50,148,55]
[2798][56,(26, 25),2715,E,51,147,56]
[2871][57,(26, 26),2798,E,52,146,57]
[2972][58,(27, 26),2871,S,53,145,58]
[3079][59,(28, 26),2972,S,54,144,59]
[3205][60,(28, 27),3079,E,55,143,60]
[3308][61,(28, 28),3205,E,56,142,61]
[3389][62,(28, 29),3308,E,57,141,62]
[3480][63,(29, 29),3389,S,58,140,63]
[3621][64,(29, 30),3480,E,59,139,64]
[3742][65,(30, 30),3621,S,60,138,65]
[3859][66,(31, 30),3742,S,61,137,66]
[3977][67,(32, 30),3859,S,62,136,67]
[4113][68,(32, 31),3977,E,63,135,68]
[4237][69,(32, 32),4113,E,64,134,69]
[4372][70,(33, 32),4237,S,65,133,70]
[4488][71,(33, 33),4372,E,66,132,71]
[4606][72,(34, 33),4488,S,67,131,72]
[4725][73,(35, 33),4606,S,68,130,73]
[4851][74,(36, 33),4725,S,69,129,74]
[4993][75,(36, 34),4851,E,70,128,75]
[5126][76,(37, 34),4993,S,71,127,76]
[5287][79,(38, 34),5126,S,72,126,79]
[5722][80,(39, 34),5287,S,73,125,80]
[5845][81,(39, 35),5722,E,74,124,81]
[6000][82,(39, 36),5845,E,75,123,82]
[6126][85,(39, 37),6000,E,76,122,85]
[6562][86,(40, 37),6126,S,77,121,86]
[6680][87,(40, 38),6562,E,78,120,87]
[6801][88,(40, 39),6680,E,79,119,88]
[6942][89,(40, 40),6801,E,80,118,89]
[7097][90,(40, 41),6942,E,81,117,90]
[7291][91,(40, 42),7097,E,82,116,91]
[7465][93,(40, 43),7291,E,83,115,93]
[7784][94,(40, 44),7465,E,84,114,94]
[7946][96,(41, 44),7784,S,85,113,96]
[8341][97,(42, 44),7946,S,86,112,97]
[8533][98,(42, 45),8341,E,87,111,98]
[8725][99,(42, 46),8533,E,88,110,99]
[8909][102,(42, 47),8725,E,89,109,102]
[9382][103,(43, 47),8909,S,90,108,103]
[9541][104,(43, 48),9382,E,91,107,104]
[9712][105,(43, 49),9541,E,92,106,105]
[9910][107,(43, 50),9712,E,93,105,107]
[10252][108,(44, 50),9910,S,94,104,108]
[10429][111,(44, 51),10252,E,95,103,111]
[10976][112,(44, 52),10429,E,96,102,112]
[11185][114,(45, 52),10976,S,97,101,114]
[11659][115,(45, 53),11185,E,98,100,115]
[11857][116,(45, 54),11659,E,99,99,116]
[12085][117,(46, 54),11857,S,100,98,117]
[12298][119,(47, 54),12085,S,101,97,119]
[12676][120,(48, 54),12298,S,102,96,120]
[12889][123,(49, 54),12676,S,103,95,123]
[13505][124,(50, 54),12889,S,104,94,124]
[13707][125,(51, 54),13505,S,105,93,125]
[13920][127,(51, 55),13707,E,106,92,127]
[14344][128,(51, 56),13920,E,107,91,128]
[14523][130,(51, 57),14344,E,108,90,130]
[14913][131,(52, 57),14523,S,109,89,131]
[15133][132,(52, 58),14913,E,110,88,132]
[15325][133,(53, 58),15133,S,111,87,133]
[15529][134,(54, 58),15325,S,112,86,134]
[15723][135,(55, 58),15529,S,113,85,135]
[15966][136,(56, 58),15723,S,114,84,136]
[16163][138,(57, 58),15966,S,115,83,138]
[16568][141,(57, 59),16163,E,116,82,141]
[17281][142,(58, 59),16568,S,117,81,142]
[17541][143,(58, 60),17281,E,118,80,143]
[17737][144,(59, 60),17541,S,119,79,144]
[17986][145,(60, 60),17737,S,120,78,145]
[18246][146,(60, 61),17986,E,121,77,146]
[18505][148,(61, 61),18246,S,122,76,148]
[19006][149,(62, 61),18505,S,123,75,149]
[19274][150,(62, 62),19006,E,124,74,150]
[19494][151,(63, 62),19274,S,125,73,151]
[19765][152,(63, 63),19494,E,126,72,152]
[20008][153,(64, 63),19765,S,127,71,153]
[20281][154,(65, 63),20008,S,128,70,154]
[20540][155,(65, 64),20281,E,129,69,155]
[20806][156,(65, 65),20540,E,130,68,156]
[21126][158,(66, 65),20806,S,131,67,158]
[21659][159,(67, 65),21126,S,132,66,159]
[21939][160,(68, 65),21659,S,133,65,160]
[22240][162,(69, 65),21939,S,134,64,162]
[22756][164,(69, 66),22240,E,135,63,164]
[23330][165,(69, 67),22756,E,136,62,165]
[23572][166,(70, 67),23330,S,137,61,166]
[23885][168,(70, 68),23572,E,138,60,168]
[24353][169,(71, 68),23885,S,139,59,169]
[24604][170,(72, 68),24353,S,140,58,170]
[24869][171,(72, 69),24604,E,141,57,171]
[25122][174,(72, 70),24869,E,142,56,174]
[25777][175,(73, 70),25122,S,143,55,175]
[25985][176,(74, 70),25777,S,144,54,176]
[26197][178,(75, 70),25985,S,145,53,178]
[26609][179,(76, 70),26197,S,146,52,179]
[26818][180,(76, 71),26609,E,147,51,180]
[27042][181,(76, 72),26818,E,148,50,181]
[27237][182,(76, 73),27042,E,149,49,182]
[27421][185,(76, 74),27237,E,150,48,185]
[27922][186,(76, 75),27421,E,151,47,186]
[28067][187,(76, 76),27922,E,152,46,187]
[28187][188,(76, 77),28067,E,153,45,188]
[28319][189,(76, 78),28187,E,154,44,189]
[28427][190,(77, 78),28319,S,155,43,190]
[28516][191,(77, 79),28427,E,156,42,191]
[28636][194,(77, 80),28516,E,157,41,194]
[28973][196,(78, 80),28636,S,158,40,196]
[29246][197,(79, 80),28973,S,159,39,197]
[29375][198,(80, 80),29246,S,160,38,198]
[29476][199,(81, 80),29375,S,161,37,199]
[29597][200,(82, 80),29476,S,162,36,200]
[29693][201,(83, 80),29597,S,163,35,201]
[29800][202,(84, 80),29693,S,164,34,202]
[29933][205,(85, 80),29800,S,165,33,205]
[30185][206,(85, 81),29933,E,166,32,206]
[30279][207,(85, 82),30185,E,167,31,207]
[30394][208,(86, 82),30279,S,168,30,208]
[30513][209,(86, 83),30394,E,169,29,209]
[30632][210,(87, 83),30513,S,170,28,210]
[30739][211,(87, 84),30632,E,171,27,211]
[30816][212,(88, 84),30739,S,172,26,212]
[30888][215,(88, 85),30816,E,173,25,215]
[31105][216,(88, 86),30888,E,174,24,216]
[31177][217,(88, 87),31105,E,175,23,217]
[31234][220,(88, 88),31177,E,176,22,220]
